person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,male,Bachelor,228907,0,MORTGAGE,10000,VENTURE,11.01,0.04,3,560,Yes,0
24,male,Bachelor,90938,0,RENT,25000,EDUCATION,10.25,0.27,4,648,No,1
22,male,Associate,86284,0,RENT,25000,EDUCATION,15.95,0.29,4,648,No,1
26,male,Associate,228774,3,MORTGAGE,20000,VENTURE,12.18,0.09,4,669,Yes,0
23,male,High School,229027,2,OWN,24000,PERSONAL,11.83,0.1,3,536,Yes,0
23,male,High School,94789,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.26,2,548,No,1
23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,3,667,No,1
23,male,High School,95298,0,RENT,25000,VENTURE,10.74,0.26,3,676,No,1
25,male,Associate,223944,1,OWN,10000,VENTURE,10.25,0.04,4,570,Yes,0
24,male,High School,222629,0,MORTGAGE,35000,EDUCATION,12.42,0.16,2,623,No,0
25,female,Bachelor,222973,2,RENT,15000,VENTURE,15.27,0.07,2,652,Yes,0
24,female,High School,75240,1,RENT,25000,MEDICAL,15.33,0.33,2,625,No,1
23,female,High School,96143,1,RENT,25000,VENTURE,15.21,0.26,2,642,No,1
21,male,Bachelor,18064,0,OWN,6250,VENTURE,14.72,0.35,2,580,No,1
24,male,Associate,96627,2,RENT,25000,PERSONAL,15.7,0.26,2,622,No,1
24,male,Bachelor,96309,3,RENT,25000,EDUCATION,13.35,0.26,4,581,No,1
21,female,High School,18421,1,MORTGAGE,1500,MEDICAL,11.01,0.08,4,623,No,0
24,male,Master,96836,1,RENT,25000,EDUCATION,6.62,0.26,2,583,No,1
26,male,Bachelor,96947,4,RENT,25000,DEBTCONSOLIDATION,13.61,0.26,4,645,No,1
22,female,Associate,222975,2,RENT,25000,MEDICAL,11.36,0.11,2,593,Yes,0
26,male,Associate,222985,3,OWN,5000,PERSONAL,7.68,0.02,2,659,Yes,0
24,female,Bachelor,223064,0,RENT,22000,HOMEIMPROVEMENT,14.46,0.1,4,655,Yes,0
23,male,Associate,221559,2,OWN,2500,EDUCATION,11.83,0.01,2,583,Yes,0
24,female,Associate,207712,0,MORTGAGE,20000,DEBTCONSOLIDATION,13.47,0.1,4,582,No,1
24,female,Bachelor,220872,1,MORTGAGE,20000,MEDICAL,11.49,0.09,3,504,Yes,0
22,male,High School,220518,0,MORTGAGE,1000,EDUCATION,11.01,0,2,551,Yes,0
25,female,Associate,220510,1,MORTGAGE,15000,PERSONAL,6.03,0.07,3,529,Yes,0
23,female,Bachelor,89818,0,RENT,25000,DEBTCONSOLIDATION,16.35,0.28,4,674,No,1
26,female,High School,90006,4,RENT,25000,DEBTCONSOLIDATION,11.01,0.28,4,595,No,1
25,female,High School,98704,6,RENT,25000,DEBTCONSOLIDATION,7.29,0.25,3,597,No,1
23,male,High School,98967,5,RENT,25000,MEDICAL,11.36,0.25,3,566,No,1
24,male,High School,99435,3,RENT,25000,VENTURE,10.25,0.25,2,666,No,0
24,female,Bachelor,100658,1,RENT,25000,EDUCATION,11.12,0.25,3,695,No,0
24,female,Bachelor,100435,2,RENT,25000,PERSONAL,12.92,0.25,3,576,Yes,0
24,male,High School,216925,5,RENT,18000,EDUCATION,18.64,0.08,4,651,Yes,0
23,female,Bachelor,216891,0,MORTGAGE,28000,PERSONAL,7.51,0.13,3,633,Yes,0
23,male,Master,18512,1,OWN,4000,HOMEIMPROVEMENT,16.7,0.22,2,566,No,1
22,male,Master,18367,0,OWN,2100,PERSONAL,11.14,0.11,4,583,No,0
22,female,Associate,102317,0,RENT,25000,PERSONAL,18.3,0.24,4,586,Yes,0
24,female,Associate,103400,4,RENT,25000,MEDICAL,10.62,0.24,4,592,Yes,0
24,male,Bachelor,217134,2,MORTGAGE,14000,VENTURE,11.99,0.06,2,598,Yes,0
26,male,Master,217024,1,MORTGAGE,12000,VENTURE,9.63,0.06,4,637,Yes,0
25,female,High School,172215,5,MORTGAGE,10000,MEDICAL,18.25,0.06,4,628,No,1
23,male,Master,18831,0,MORTGAGE,6000,DEBTCONSOLIDATION,11.01,0.32,4,667,No,1
24,male,Associate,105349,5,RENT,25000,HOMEIMPROVEMENT,14.84,0.24,3,621,Yes,0
24,male,Bachelor,91184,1,RENT,25000,VENTURE,14.7,0.27,3,668,No,1
23,female,High School,91886,1,RENT,25000,DEBTCONSOLIDATION,16.02,0.27,4,544,No,1
23,male,Associate,80452,2,RENT,25000,MEDICAL,15.37,0.31,2,699,No,1
25,female,Bachelor,108758,2,RENT,25000,MEDICAL,10.99,0.23,4,611,No,0
21,male,Associate,18916,0,OWN,6200,HOMEIMPROVEMENT,7.9,0.33,2,615,No,1
26,female,High School,217234,5,OWN,25000,PERSONAL,10.99,0.12,4,559,Yes,0
24,female,High School,217017,0,OWN,21000,EDUCATION,11.48,0.1,3,577,Yes,0
25,male,High School,216874,1,OWN,20000,MEDICAL,14.26,0.09,4,657,Yes,0
26,male,Associate,216833,5,OWN,10000,HOMEIMPROVEMENT,8,0.05,4,676,Yes,0
25,male,Bachelor,216483,0,MORTGAGE,9950,VENTURE,11.26,0.05,2,601,No,0
23,female,Master,19000,2,OWN,4475,MEDICAL,11.01,0.24,4,647,No,1
23,female,Master,94363,0,RENT,25000,VENTURE,16.32,0.26,3,576,No,1
25,male,Master,80570,3,RENT,25000,MEDICAL,17.93,0.31,4,612,No,1
23,male,Bachelor,109167,0,RENT,25000,DEBTCONSOLIDATION,11.36,0.23,3,678,No,0
24,female,Associate,95753,1,RENT,25000,DEBTCONSOLIDATION,14.96,0.26,4,542,No,1
24,female,Associate,110935,1,RENT,25000,PERSONAL,13.43,0.23,3,709,Yes,0
25,male,Associate,111490,2,RENT,25000,HOMEIMPROVEMENT,12.69,0.22,3,622,Yes,0
24,male,Associate,111729,4,RENT,25000,VENTURE,12.73,0.22,4,642,Yes,0
23,female,High School,113396,0,RENT,25000,VENTURE,15.21,0.22,4,660,No,0
23,female,Bachelor,19175,1,MORTGAGE,1750,MEDICAL,12.68,0.09,3,587,Yes,0
23,female,High School,85787,0,RENT,25000,MEDICAL,19.04,0.29,4,646,No,1
25,female,Master,102114,7,RENT,25000,DEBTCONSOLIDATION,15.95,0.24,3,637,No,1
26,male,Bachelor,211005,5,MORTGAGE,2600,VENTURE,8.9,0.01,4,718,No,0
25,male,Master,210903,4,MORTGAGE,8000,HOMEIMPROVEMENT,7.9,0.04,2,588,Yes,0
22,male,Associate,210555,0,MORTGAGE,18000,EDUCATION,11.01,0.09,2,652,No,0
23,male,Bachelor,210937,0,MORTGAGE,21000,PERSONAL,11.99,0.1,3,620,Yes,0
23,male,High School,19062,2,OWN,4000,DEBTCONSOLIDATION,13.98,0.21,4,667,No,1
23,female,Associate,18926,0,OWN,4600,VENTURE,10.99,0.24,2,688,No,1
22,male,Associate,106694,0,RENT,25000,DEBTCONSOLIDATION,15.58,0.23,2,667,No,1
25,male,Master,90718,4,RENT,25000,MEDICAL,10.99,0.28,2,692,No,1
25,male,Bachelor,106668,1,RENT,25000,VENTURE,14.96,0.23,4,562,No,1
25,male,High School,19158,4,OWN,1750,HOMEIMPROVEMENT,15.31,0.09,4,625,Yes,0
26,male,High School,106419,5,RENT,25000,VENTURE,15.65,0.23,3,649,No,1
25,female,High School,120696,3,RENT,25000,VENTURE,9.33,0.21,4,545,Yes,0
23,male,High School,19065,3,MORTGAGE,3600,PERSONAL,13.47,0.19,4,540,No,1
24,female,Associate,124083,0,RENT,25000,PERSONAL,10.36,0.2,3,637,Yes,0
24,male,Associate,111673,4,RENT,25000,HOMEIMPROVEMENT,16.77,0.22,4,600,No,1
23,male,High School,112633,1,RENT,25000,DEBTCONSOLIDATION,14.59,0.22,2,633,No,1
22,male,High School,210938,0,RENT,3500,VENTURE,11.91,0.02,2,588,No,0
23,female,Associate,210720,2,MORTGAGE,7200,EDUCATION,8.38,0.03,3,624,Yes,0
25,male,High School,210705,7,RENT,9000,VENTURE,10.59,0.04,3,525,Yes,0
25,male,High School,209997,3,MORTGAGE,8800,DEBTCONSOLIDATION,14.27,0.04,3,616,Yes,0
26,female,Master,209873,3,RENT,12000,DEBTCONSOLIDATION,12.53,0.06,4,675,No,0
25,female,Associate,195268,1,MORTGAGE,25000,DEBTCONSOLIDATION,16,0.13,3,662,No,1
26,male,Master,209393,2,MORTGAGE,10000,VENTURE,11.71,0.05,4,585,Yes,0
21,male,Master,18773,0,OWN,3175,HOMEIMPROVEMENT,11.54,0.17,3,686,No,1
25,female,Bachelor,116439,2,RENT,25000,HOMEIMPROVEMENT,15.68,0.21,4,595,No,1
21,female,Associate,19169,2,MORTGAGE,1500,EDUCATION,10.59,0.08,2,537,Yes,0
24,female,High School,118417,0,RENT,25000,HOMEIMPROVEMENT,12.61,0.21,2,625,No,1
26,female,High School,133476,0,RENT,25000,PERSONAL,11.01,0.19,2,641,Yes,0
23,female,Associate,19312,4,MORTGAGE,2800,PERSONAL,8.49,0.14,3,661,No,1
25,male,High School,192351,1,RENT,30000,PERSONAL,17.27,0.16,4,577,No,1
24,male,Bachelor,206648,4,RENT,18000,DEBTCONSOLIDATION,8.9,0.09,4,537,Yes,0
25,female,High School,205046,6,MORTGAGE,10000,MEDICAL,11.11,0.05,4,646,Yes,0
24,male,High School,190735,1,RENT,25000,HOMEIMPROVEMENT,14.59,0.13,2,653,No,1
26,female,Associate,204872,3,RENT,13000,VENTURE,12.42,0.06,3,654,No,0
24,male,Associate,100758,0,RENT,25000,MEDICAL,11.01,0.25,2,635,No,1
24,female,Master,133231,3,RENT,25000,HOMEIMPROVEMENT,15.7,0.19,2,675,Yes,0
22,female,Master,18923,0,OWN,2500,HOMEIMPROVEMENT,12.53,0.13,3,618,No,1
25,female,Master,161894,0,RENT,5000,MEDICAL,16.49,0.03,2,609,No,1
25,female,Bachelor,205144,0,MORTGAGE,20000,EDUCATION,7.49,0.1,2,545,Yes,0
22,female,High School,121617,2,RENT,25000,DEBTCONSOLIDATION,14.96,0.21,2,629,No,1
25,male,Associate,136206,6,RENT,25000,MEDICAL,12.73,0.18,4,539,No,0
24,male,Master,144915,4,RENT,25000,EDUCATION,10.65,0.17,4,593,Yes,0
25,female,High School,145233,3,RENT,25000,MEDICAL,10.74,0.17,2,683,No,0
23,male,Bachelor,145002,1,RENT,25000,EDUCATION,9.99,0.17,2,670,Yes,0
24,male,Master,110953,0,RENT,25000,MEDICAL,15.33,0.23,2,662,No,1
21,female,High School,19414,2,OWN,1000,VENTURE,7.29,0.05,4,681,Yes,0
26,male,High School,130096,1,RENT,25000,PERSONAL,15.05,0.19,3,636,No,1
26,male,Master,157292,0,RENT,25000,PERSONAL,10.75,0.16,3,677,Yes,0
23,female,Bachelor,156995,3,RENT,25000,EDUCATION,16.02,0.16,2,656,Yes,0
23,female,Associate,156952,0,RENT,25000,VENTURE,11.49,0.16,4,674,Yes,0
25,female,Associate,205005,6,OWN,20000,EDUCATION,12.53,0.1,4,587,No,0
26,female,Bachelor,205060,2,MORTGAGE,12000,VENTURE,13.57,0.06,2,658,No,0
22,male,High School,203782,4,RENT,14000,PERSONAL,11.14,0.07,3,581,Yes,0
26,male,High School,203368,3,RENT,24250,MEDICAL,12.87,0.12,3,606,Yes,0
23,female,Associate,203403,0,RENT,20000,EDUCATION,11.58,0.1,3,648,No,0
24,female,Associate,202715,3,RENT,1800,HOMEIMPROVEMENT,11.12,0.01,3,563,Yes,0
25,female,Master,202525,1,MORTGAGE,35000,PERSONAL,10.65,0.17,2,589,Yes,0
24,male,Associate,161487,1,RENT,25000,DEBTCONSOLIDATION,10.37,0.15,2,641,No,0
24,male,Associate,19677,3,OWN,3300,HOMEIMPROVEMENT,6.39,0.17,4,637,No,1
24,male,High School,161952,2,RENT,25000,PERSONAL,16.07,0.15,3,578,Yes,0
25,female,Bachelor,161560,0,RENT,25000,MEDICAL,10.62,0.15,2,660,Yes,0
25,male,High School,19423,3,OWN,3200,VENTURE,18.09,0.16,2,586,No,1
25,male,Associate,163134,5,RENT,25000,EDUCATION,11.36,0.15,4,567,Yes,0
26,female,Bachelor,163683,5,RENT,25000,DEBTCONSOLIDATION,12.53,0.15,4,582,Yes,0
25,female,Bachelor,174972,3,RENT,25000,EDUCATION,9.99,0.14,4,712,Yes,0
23,male,High School,181016,4,RENT,25000,EDUCATION,10.36,0.14,3,674,No,0
23,female,Master,198920,0,MORTGAGE,9600,EDUCATION,5.99,0.05,3,532,Yes,0
22,female,Master,184800,1,MORTGAGE,24000,DEBTCONSOLIDATION,15.62,0.13,2,670,No,1
24,male,Master,198862,6,MORTGAGE,20000,PERSONAL,10.37,0.1,4,658,No,0
25,male,Associate,199407,0,MORTGAGE,25000,HOMEIMPROVEMENT,19.74,0.13,4,669,No,0
21,male,Bachelor,198803,0,MORTGAGE,20000,EDUCATION,6.91,0.1,4,681,Yes,0
23,male,Associate,20044,3,OWN,6000,MEDICAL,7.9,0.3,2,618,No,1
23,female,Bachelor,20401,4,MORTGAGE,2275,DEBTCONSOLIDATION,13.06,0.11,4,573,Yes,0
23,female,High School,19859,0,OWN,2000,PERSONAL,6.39,0.1,3,491,Yes,0
23,male,Master,178660,2,RENT,25000,DEBTCONSOLIDATION,14.93,0.14,3,590,No,1
23,female,High School,20421,0,MORTGAGE,5600,MEDICAL,12.84,0.27,4,587,No,1
24,male,Master,20353,2,OWN,3625,VENTURE,17.14,0.18,2,648,No,1
22,male,Master,20297,0,MORTGAGE,5500,VENTURE,7.14,0.27,3,687,No,1
25,male,Bachelor,210932,0,RENT,25000,PERSONAL,8.9,0.12,2,621,No,0
22,female,High School,20405,0,OWN,2000,PERSONAL,12.42,0.1,3,590,Yes,0
24,male,Associate,223194,0,RENT,25000,HOMEIMPROVEMENT,12.68,0.11,2,676,Yes,0
25,female,Associate,195560,0,RENT,25000,PERSONAL,11.03,0.13,2,677,Yes,0
26,male,Bachelor,194140,6,RENT,30000,VENTURE,7.9,0.15,4,651,Yes,0
22,male,High School,193337,0,MORTGAGE,35000,MEDICAL,10.65,0.18,4,602,Yes,0
25,male,High School,270992,2,RENT,25000,VENTURE,11.86,0.09,4,652,No,0
25,male,Associate,20221,5,OWN,5000,PERSONAL,8.94,0.25,4,572,No,1
23,male,Bachelor,20678,0,OWN,4375,VENTURE,9.63,0.21,4,528,No,1
25,female,High School,60742,3,RENT,24750,PERSONAL,14.22,0.41,3,638,No,1
23,female,High School,72805,2,RENT,24750,DEBTCONSOLIDATION,9.33,0.34,3,655,No,1
24,male,Master,102011,3,RENT,24500,MEDICAL,13.85,0.24,4,627,Yes,0
22,male,High School,20896,0,MORTGAGE,2000,EDUCATION,10.65,0.1,2,596,No,0
24,female,Bachelor,111283,0,RENT,24500,MEDICAL,11.46,0.22,4,694,No,0
23,female,Associate,192873,0,MORTGAGE,35000,PERSONAL,7.66,0.18,2,684,Yes,0
24,female,Bachelor,193174,0,MORTGAGE,12000,VENTURE,16.77,0.06,4,547,No,0
25,female,Bachelor,193249,0,MORTGAGE,12000,PERSONAL,9.63,0.06,4,586,Yes,0
26,female,Bachelor,192954,5,RENT,25000,PERSONAL,12.23,0.13,4,694,No,0
25,male,Master,152227,2,MORTGAGE,10000,MEDICAL,14.09,0.07,4,639,No,1
25,female,Bachelor,65399,0,RENT,24250,PERSONAL,13.98,0.37,4,663,No,1
23,female,High School,75928,4,RENT,24250,EDUCATION,10.62,0.32,4,528,No,1
24,male,Bachelor,21627,0,MORTGAGE,3900,DEBTCONSOLIDATION,11.01,0.18,3,636,No,1
25,male,High School,83235,3,RENT,24250,PERSONAL,17.56,0.29,4,603,No,1
26,male,High School,68297,3,RENT,24250,MEDICAL,14.96,0.36,2,507,No,1
22,male,Master,89977,3,RENT,24250,DEBTCONSOLIDATION,15.65,0.27,2,692,No,1
24,female,Associate,79510,2,RENT,24250,MEDICAL,15.7,0.3,2,604,No,1
24,female,Bachelor,109050,5,RENT,24250,VENTURE,12.53,0.22,3,622,No,0
26,female,Bachelor,94635,2,RENT,24250,HOMEIMPROVEMENT,17.56,0.26,3,643,No,1
23,male,High School,120966,0,RENT,24250,PERSONAL,12.87,0.2,2,565,No,0
23,male,Master,124437,0,RENT,24250,PERSONAL,15.7,0.19,2,718,Yes,0
25,male,Bachelor,193147,3,MORTGAGE,9000,EDUCATION,11.01,0.05,3,625,Yes,0
25,male,Bachelor,192914,0,OWN,15000,VENTURE,11.14,0.08,4,614,Yes,0
24,female,Bachelor,192806,2,MORTGAGE,20000,VENTURE,16,0.1,3,690,Yes,0
23,male,High School,193097,0,MORTGAGE,25000,EDUCATION,15.65,0.13,2,564,Yes,0
26,female,Associate,193082,5,MORTGAGE,13750,DEBTCONSOLIDATION,11.01,0.07,4,579,Yes,0
21,female,High School,192841,1,MORTGAGE,15250,VENTURE,15.31,0.08,4,648,No,0
25,male,Master,193300,3,MORTGAGE,20000,VENTURE,13.47,0.1,2,531,Yes,0
22,male,Associate,21205,0,MORTGAGE,4750,HOMEIMPROVEMENT,13.85,0.22,2,658,No,1
25,female,Bachelor,135292,3,RENT,24250,PERSONAL,11.01,0.18,3,574,No,0
21,male,High School,21363,2,MORTGAGE,6000,VENTURE,10.39,0.28,4,671,No,1
25,male,High School,139035,7,RENT,24250,HOMEIMPROVEMENT,11.36,0.17,2,633,No,0
23,male,High School,173511,0,RENT,24250,EDUCATION,11.83,0.14,3,631,Yes,0
23,male,Associate,345520,0,RENT,24250,EDUCATION,12.53,0.07,3,652,Yes,0
22,female,Bachelor,130762,3,RENT,24150,HOMEIMPROVEMENT,14.96,0.18,3,683,No,1
22,female,Bachelor,52596,0,RENT,24000,DEBTCONSOLIDATION,13.85,0.46,3,693,No,1
23,female,Bachelor,57326,2,RENT,24000,VENTURE,11.58,0.42,4,603,No,1
24,female,High School,58262,1,RENT,24000,VENTURE,16.29,0.41,2,522,No,1
26,female,High School,58620,4,RENT,24000,MEDICAL,11.01,0.41,3,664,No,1
21,female,Master,55113,0,RENT,24000,EDUCATION,16.29,0.44,2,645,No,1
25,male,Bachelor,63361,2,RENT,24000,PERSONAL,10.74,0.38,2,592,No,1
22,female,Associate,22107,4,MORTGAGE,2250,EDUCATION,15.27,0.1,3,636,Yes,0
24,female,Bachelor,57356,3,RENT,24000,PERSONAL,17.8,0.42,2,672,No,1
22,female,Bachelor,21790,0,MORTGAGE,1000,VENTURE,11.36,0.05,2,686,Yes,0
22,female,High School,59680,0,RENT,24000,MEDICAL,17.56,0.4,4,590,No,1
26,female,Master,72720,2,RENT,24000,PERSONAL,7.9,0.33,4,636,No,1
25,female,High School,73024,5,RENT,24000,PERSONAL,10.99,0.33,4,580,No,1
22,male,Bachelor,73110,0,RENT,24000,PERSONAL,7.29,0.33,3,674,No,1
21,female,Associate,72902,0,RENT,24000,MEDICAL,10.75,0.33,2,601,No,1
26,female,High School,75416,4,RENT,24000,DEBTCONSOLIDATION,7.9,0.32,3,620,No,1
22,male,Master,75959,0,RENT,24000,EDUCATION,14.84,0.32,2,642,No,1
26,male,Associate,79222,7,RENT,24000,DEBTCONSOLIDATION,11.01,0.3,2,616,No,1
22,female,Associate,21824,0,MORTGAGE,4975,EDUCATION,11.01,0.23,3,588,No,1
23,male,High School,71875,1,RENT,24000,DEBTCONSOLIDATION,19.69,0.33,2,585,No,1
23,male,Bachelor,80313,1,RENT,24000,VENTURE,11.01,0.3,4,632,No,1
24,male,High School,72647,5,RENT,24000,VENTURE,14.96,0.33,4,556,No,1
25,male,Bachelor,80492,4,RENT,24000,EDUCATION,6.99,0.3,3,602,No,1
22,male,High School,75646,0,RENT,24000,PERSONAL,16.45,0.32,4,639,No,1
24,male,Associate,85223,3,RENT,24000,EDUCATION,10.99,0.28,4,603,No,1
23,male,Associate,89735,2,RENT,24000,DEBTCONSOLIDATION,10.99,0.27,2,689,No,1
22,male,High School,22364,4,OWN,3000,PERSONAL,7.9,0.13,4,672,No,1
22,female,Master,90780,2,RENT,24000,EDUCATION,12.69,0.26,4,499,No,1
24,male,Bachelor,90889,1,RENT,24000,MEDICAL,10.37,0.26,3,643,No,1
